City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Maneadero,31.7167,-116.5667,69.01,69,0,1.01
273,Tazovskiy,67.4667,78.7,-16.33,89,100,11.3
274,Narsaq,60.9167,-46.05,21.2,68,75,9.22
275,Wajir,1.7471,40.0573,75.7,71,25,14.14
276,Hirson,49.9226,4.0826,33.01,98,100,8.99
277,Luderitz,-26.6481,15.1594,64.29,85,27,5.46
278,Falam,22.9167,93.6833,47.7,93,99,0.72
279,Trabzon,40.9167,39.8333,48.2,76,75,17.27
280,Muroto,33.2833,134.15,42.8,87,75,9.22
281,Kavaratti,10.5669,72.642,82.4,72,96,7.74
282,Areosa,41.7178,-8.8571,50.0,100,28,4.45
283,Luanda,-8.8368,13.2343,77.0,83,20,5.75
284,Najran,17.4924,44.1277,53.6,35,0,0.94
285,Bandar-E Lengeh,26.5579,54.8807,62.67,53,64,4.07
286,Dalbandin,28.8947,64.4101,43.79,44,0,5.55
287,Yulara,-25.2406,130.9889,86.0,26,40,19.57
288,Yumen,40.2833,97.2,18.52,89,97,15.19
289,Xai-Xai,-25.0519,33.6442,76.21,92,12,4.54
290,Toora-Khem,52.4675,96.11,-10.3,87,100,0.56
291,Gloversville,43.0528,-74.3438,33.01,100,90,1.9
292,Iqaluit,63.7506,-68.5145,-13.0,77,20,5.75
293,Mitu,1.1983,-70.1733,73.22,97,100,1.66
294,Santa Cruz,-17.8,-63.1667,78.8,88,75,6.91
295,Nirmal,19.1,78.35,62.82,41,0,3.02
296,Izobilnyy,45.3741,41.7121,30.2,100,90,11.18
297,Cavalcante,-13.7975,-47.4583,70.41,86,100,2.51
298,Lianzhou,24.7811,112.3825,51.17,44,0,0.34
299,Talnakh,69.4865,88.3972,-41.75,79,26,0.6
300,Mahibadhoo,3.7833,72.9667,80.69,76,84,10.09
301,Boston,42.3584,-71.0598,37.99,93,90,6.91
302,Santa Marta,11.2408,-74.199,84.0,65,79,13.02
303,Shimoda,34.6667,138.95,50.0,71,40,17.27
304,Korla,41.7597,86.1469,17.78,84,0,9.73
305,Clyde River,70.4692,-68.5914,-13.0,84,1,5.75
306,Tulsipur,28.131,82.2973,49.69,77,3,3.67
307,Marawi,7.9986,124.2928,77.0,93,65,4.0
308,Longyearbyen,78.2186,15.6401,23.0,86,75,6.91
309,Yelizovo,53.1873,158.3805,1.4,71,99,4.47
310,Amarante Do Maranhao,-5.5667,-46.7422,73.09,96,100,3.18
311,Gordeyevka,52.9569,31.9703,7.45,94,94,8.19
312,Saint-Augustin,51.226,-58.6502,26.51,96,100,4.18
313,Cuamba,-14.8031,36.5372,70.72,94,100,1.23
314,Poum,-20.2333,164.0167,79.52,86,97,12.03
315,Qaqortoq,60.7167,-46.0333,21.2,68,75,9.22
316,Hirara,24.8,125.2833,66.2,82,75,8.05
317,Bambanglipuro,-7.95,110.2833,78.08,74,100,3.15
318,Sorland,67.667,12.6934,39.13,72,100,10.92
319,Wad Rawah,15.1603,33.1397,68.31,27,15,12.91
